origin_name,destination_name,type,constellation_telesat,height_telesat,origin_telesat,destination_telesat,Mean latency there_telesat,Mean latency back_telesat,Min. RTT_telesat,Mean RTT_telesat,Max. RTT_telesat,Smp.std. RTT_telesat,Reply arrival_telesat,constellation_kuiper,height_kuiper,origin_kuiper,destination_kuiper,Mean latency there_kuiper,Mean latency back_kuiper,Min. RTT_kuiper,Mean RTT_kuiper,Max. RTT_kuiper,Smp.std. RTT_kuiper,Reply arrival_kuiper,constellation_starlink,height_starlink,origin_starlink,destination_starlink,Mean latency there_starlink,Mean latency back_starlink,Min. RTT_starlink,Mean RTT_starlink,Max. RTT_starlink,Smp.std. RTT_starlink,Reply arrival_starlink
Frankfurt,Rome,isls,telesat,1015,351,355,7.58 ms,7.58 ms,14.21 ms,15.17 ms,17.78 ms,0.95 ms,199985/200000 (100%),kuiper,630,1156,1160,4.94 ms,4.94 ms,9.32 ms,9.89 ms,11.14 ms,0.53 ms,199991/200000 (100%),starlink,550.0,1584.0,1588.0,4.08 ms,4.08 ms,7.86 ms,8.16 ms,8.70 ms,0.24 ms,199992/200000 (100%)
Amsterdam,Venice,isls,telesat,1015,353,357,7.90 ms,7.90 ms,15.23 ms,15.80 ms,17.90 ms,0.71 ms,199985/200000 (100%),kuiper,630,1158,1162,5.49 ms,5.49 ms,10.77 ms,10.99 ms,11.53 ms,0.22 ms,199990/200000 (100%),starlink,550.0,1586.0,1590.0,4.86 ms,4.86 ms,9.48 ms,9.72 ms,10.34 ms,0.21 ms,199991/200000 (100%)
Rome,Helsinki,isls,telesat,1015,355,358,10.15 ms,10.15 ms,19.26 ms,20.30 ms,21.12 ms,0.62 ms,199980/200000 (100%),kuiper,630,1160,1163,8.68 ms,8.68 ms,15.46 ms,17.37 ms,24.02 ms,2.57 ms,173973/200000 (87%),starlink,550.0,1588.0,1591.0,8.83 ms,8.83 ms,14.51 ms,17.65 ms,22.86 ms,1.67 ms,199983/200000 (100%)
London,Barcelona,isls,telesat,1015,354,356,9.45 ms,9.45 ms,17.91 ms,18.90 ms,20.73 ms,0.87 ms,199982/200000 (100%),kuiper,630,1159,1161,6.17 ms,6.17 ms,11.65 ms,12.33 ms,13.97 ms,0.58 ms,199988/200000 (100%),starlink,550.0,1587.0,1589.0,5.32 ms,5.32 ms,10.47 ms,10.64 ms,10.92 ms,0.11 ms,199990/200000 (100%)
Munich,Moscow,isls,telesat,1015,352,359,10.89 ms,10.89 ms,20.01 ms,21.77 ms,23.52 ms,0.99 ms,199980/200000 (100%),kuiper,630,1157,1164,8.98 ms,8.98 ms,16.16 ms,17.96 ms,21.02 ms,1.76 ms,199984/200000 (100%),starlink,550.0,1585.0,1592.0,8.31 ms,8.31 ms,16.06 ms,16.62 ms,22.48 ms,0.70 ms,199984/200000 (100%)
Venice,Helsinki,isls,telesat,1015,357,358,10.18 ms,10.18 ms,19.21 ms,20.36 ms,21.22 ms,0.67 ms,199980/200000 (100%),kuiper,630,1162,1163,8.61 ms,8.61 ms,15.43 ms,17.21 ms,29.55 ms,2.53 ms,173973/200000 (87%),starlink,550.0,1590.0,1591.0,8.83 ms,8.83 ms,14.48 ms,17.67 ms,26.67 ms,1.94 ms,199983/200000 (100%)
Helsinki,Moscow,isls,telesat,1015,358,359,8.33 ms,8.33 ms,15.43 ms,16.66 ms,18.37 ms,1.07 ms,199985/200000 (100%),kuiper,630,1163,1164,8.34 ms,8.34 ms,13.92 ms,16.69 ms,22.72 ms,3.21 ms,173975/200000 (87%),starlink,550.0,1591.0,1592.0,6.33 ms,6.33 ms,11.80 ms,12.67 ms,18.25 ms,0.75 ms,199988/200000 (100%)
Frankfurt,Amsterdam,isls,telesat,1015,351,353,7.32 ms,7.32 ms,13.93 ms,14.63 ms,15.88 ms,0.46 ms,199987/200000 (100%),kuiper,630,1156,1158,4.57 ms,4.57 ms,8.85 ms,9.13 ms,10.10 ms,0.33 ms,199992/200000 (100%),,,,,,,,,,,
Amsterdam,London,isls,telesat,1015,353,354,8.12 ms,8.12 ms,14.77 ms,16.24 ms,17.08 ms,0.64 ms,199986/200000 (100%),kuiper,630,1158,1159,4.62 ms,4.62 ms,8.84 ms,9.23 ms,10.40 ms,0.45 ms,199992/200000 (100%),starlink,550.0,1586.0,1587.0,3.74 ms,3.74 ms,7.31 ms,7.49 ms,7.81 ms,0.11 ms,199993/200000 (100%)
Amsterdam,Moscow,isls,telesat,1015,353,359,10.78 ms,10.78 ms,20.63 ms,21.56 ms,23.06 ms,0.72 ms,199979/200000 (100%),kuiper,630,1158,1164,10.68 ms,10.68 ms,20.63 ms,21.36 ms,25.06 ms,0.65 ms,199979/200000 (100%),starlink,550.0,1586.0,1592.0,9.35 ms,9.35 ms,17.56 ms,18.69 ms,22.89 ms,0.67 ms,199981/200000 (100%)
